245,245,266,245,245,245,327,261,262,263,329,245,245,245,245,265,245,245,245,245
245,267,267,267,267,245,245,283,284,285,245,245,245,266,266,245,245,245,267,245
245,267,245,266,266,266,266,305,306,307,245,266,245,266,266,245,266,245,245,265
245,267,267,266,266,267,265,245,224,221,221,221,221,221,221,221,161,267,245,266
245,267,265,245,267,266,245,265,265,266,266,245,245,266,267,245,179,267,245,245
245,267,266,265,245,265,265,265,245,245,266,265,245,265,245,245,179,267,267,245
266,267,266,265,265,267,245,265,245,245,245,265,245,245,245,267,179,267,267,245
245,267,266,267,245,265,265,245,265,265,266,245,245,267,245,267,179,267,267,245
245,265,143,144,144,145,245,266,266,267,267,267,244,244,244,265,179,265,265,266
245,267,165,273,34,167,266,245,245,158,221,221,221,221,221,221,225,222,267,245
245,266,165,34,272,167,267,267,245,179,267,245,244,244,265,244,244,244,244,245
245,266,187,188,188,189,267,267,245,179,267,267,245,267,267,267,245,245,245,245
245,266,266,266,245,267,267,267,245,179,266,265,266,266,245,245,267,267,267,265
245,266,245,266,266,267,265,265,245,179,266,267,267,267,245,266,267,245,267,245
245,266,267,265,265,265,268,245,265,179,266,245,267,245,267,266,265,267,267,245
245,245,265,265,267,266,266,245,267,179,266,267,267,245,245,266,266,267,267,245
245,265,265,265,266,245,267,267,267,179,266,266,267,266,245,245,267,266,267,245
245,266,266,245,265,267,267,267,267,179,267,267,245,266,266,245,245,245,267,245
266,267,267,245,267,267,245,267,267,201,267,267,267,245,267,267,267,245,245,245
245,245,265,245,245,245,266,245,245,245,245,245,245,245,245,265,245,265,245,245
